姓名,学校,职务,国家
Junfa Mao,深圳大学,Honorary Chair,中国
Yong Lian,约克大学,General Co-Chair,加拿大
Ming Liu,复旦大学,General Co-Chair,中国
Shao-Jun Wei,清华大学,General Co-Chair,中国
Gianluca Setti,阿卜杜拉国王科技大学,General Co-Chair,沙特阿拉伯
Wei-Sheng Zhao,北京航空航天大学,TPC Co-Chair,中国
Xinmiao Zhang,俄亥俄州立大学,TPC Co-Chair,美国
Eduard Alarcon,巴塞罗那理工大学,TPC Co-Chair,西班牙
Yoshifumi Nishio,德岛大学,TPC Co-Chair,日本
Zhihua Wang,清华大学,Plenary Co-Chair,中国
Mohamad Sawan,西湖大学,Plenary Co-Chair,中国
David Allstot,卡内基梅隆大学,Plenary Co-Chair,美国
Jian Zhao,上海交通大学,Finance Co-Chair,中国
Di He,上海交通大学,Finance Co-Chair,中国
Yajun Ha,上海科技大学,Special Session Co-Chair,中国
Elena Blokhina,都柏林大学学院,Special Session Co-Chair,爱尔兰
Malgorzata Chrzanowska-Jeske,波特兰州立大学,Special Session Co-Chair,美国
Li Li,中国科学技术大学,Tutorial Co-Chair,中国
Yang Zhao,上海交通大学,Tutorial Co-Chair,中国
Patricia Desgreys,巴黎电信学院,Tutorial Co-Chair,法国
Shahriar Mirabbasi,不列颠哥伦比亚大学,Tutorial Co-Chair,加拿大
Yongfu Li,上海交通大学,Cross Society Session Co-Chair,中国
Xiaojun Guo,上海交通大学,Cross Society Session Co-Chair,中国
Shouyi Yin,清华大学,Cross Society Session Co-Chair,中国
Qing Luo,中科院微电子研究所,Cross Society Session Co-Chair,中国
Peiling Liu,上海交通大学,Demo Co-Chair,中国
Philipp Hafliger,奥斯陆大学,Demo Co-Chair,挪威
Xilin Liu,多伦多大学,Demo Co-Chair,加拿大
Julia Chung,国立成功大学,WiCAS and YP Co-Chair,台湾
Yoko Uwate,德岛大学,WiCAS and YP Co-Chair,日本
Howard Yang,澜起科技,Industry Advisory and Entrepreneurship Co-Chair,中国
Yu Wang,清华大学,Industry Advisory and Entrepreneurship Co-Chair,中国
Yen-Kuang Chen,英特尔,Industry Advisory and Entrepreneurship Co-Chair,美国
Abu Sebastian,IBM研究院,Industry Advisory and Entrepreneurship Co-Chair,瑞士
Li Geng,西安交通大学,Publication Co-Chair,中国
Jianjun Zhou,上海交通大学,Publication Co-Chair,中国
Jing Jin,上海交通大学,Exhibits Co-Chair,中国
Yongxin Zhu,中科院上海高等研究院,Exhibits Co-Chair,中国
Yan Liu,上海交通大学,Local Arrangement Co-Chair,中国
Liang Qi,上海交通大学,Local Arrangement Co-Chair,中国
