姓名,学校,职务,国家
Yong Lian,York University,General Co-Chair,Canada
Gianluca Setti,King Abdullah University of Science and Technology,General Co-Chair,Saudi Arabia
Xinmiao Zhang,Ohio State University,TPC Co-Chair,USA
Eduard Alarcon,UPC Barcelona Tech,TPC Co-Chair,Spain
Yoshifumi Nishio,Tokoshima University,TPC Co-Chair,Japan
David Allstot,Carnegie Mellon University,Plenary Co-Chair,USA
Elena Blokhina,University College Dublin,Special Session Co-Chair,Ireland
Malgorzata Chrzanowska-Jeske,Portland State University,Special Session Co-Chair,USA
Patricia Desgreys,Telecom Paris,Tutorial Co-Chair,France
Shahriar Mirabbasi,University of British Columbia,Tutorial Co-Chair,Canada
Philipp Hafliger,University of Oslo,Demo Co-Chair,Norway
Xilin Liu,University of Toronto,Demo Co-Chair,Canada
Julia Chung,National Cheng Kung University,WiCAS and YP Co-Chair,Taiwan
Yoko Uwate,Tokushima University,WiCAS and YP Co-Chair,Japan
Yen-Kuang Chen,Intel,Industry Advisory and Entrepreneurship Co-Chair,USA
Abu Sebastian,IBM Research,Industry Advisory and Entrepreneurship Co-Chair,Switzerland
